Código CIUO-08;Título SP;Descripción;Tareas;Observaciones;Ocupaciones
21;Profesionales de las ciencias y de la ingeniería;Los profesionales de las ciencias físicas, químicas y matemáticas y de la ingeniería o bien investigan, perfeccionan o desarrollan conceptos, teorías y métodos o bien aplican los conocimientos científicos en materia de física, astronomía, meteorología, química, geología, geofísica, matemáticas, estadística, informática, arquitectura, ingeniería y tecnología en sus distintas ramas u otras ramas o campos conexos.;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: investigar, ampliar, aplicar o asesorar sobre los conocimientos científicos adquiridos mediante el estudio de las estructuras y propiedades de la materia y los fenómenos físicos, de las características y procesos químicos de diversas sustancias, materiales y productos y de conceptos y métodos matemáticos, estadísticos e informáticos, proyectar y dirigir la construcción de edificios, obras públicas, ciudades y sistemas de tránsito y de estructuras, instalaciones, máquinas y equipos industriales, incluidos los de la minería, así como las operaciones en distintas ramas de la ingeniería y de la informática; asesorar en estos aspectos y respecto de los procesos y métodos de extracción y producción y asegurar resultados óptimos; estudiar la tecnología de determinados materiales, productos y procesos y la eficiencia de la producción y de la organización del trabajo y asesorar al respecto; explorar tierras y mares y trazar planos, cartas y mapas, y preparar ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
211;Físicos, químicos y afines;"
Los físicos, químicos y afines investigan, perfeccionan o desarrollan teorías, conceptos y métodos o aplican los conocimientos científicos en materia de física, astronomía, meteorología, química, geología y geofísica.";Las tareas desempeñadas por lo común incluyen ras siguientes: ampliar los conocimientos científicos mediante la investigación y la experimentación relativas a la mecánica, la termodinámica, la óptica, la acústica, la electricidad, el magnetismo, la electrónica, la física nuclear, la astronomía, diversas ramas de la química, las condiciones atmosféricas o la corteza terrestre, y aplicar tales conocimientos o asesorar sobre ellos en esferas como la Ingeniería, la industria manufacturera, la agricultura, la medicina, la navegación aérea y marítima, la exploración espacial, la explotación de petróleo y gas natural y de otros recursos minerales e hídricos, las telecomunicaciones y otros servicios. También preparan ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.;;
212;Matemáticos, actuarios y estadísticos;Los matemáticos, estadísticos y afines investigan, perfeccionan o desarrollan conceptos, teorías, métodos y técnicas matemáticos, actuariales y estadísticos y los aplican a una amplia gama de tareas en esferas como la ingeniería, la medicina, la agricultura, la industria y el comercio y otros campos de las ciencias exactas, biológicas o sociales.;"Las tareas desempeñadas por lo común incluyen las siguientes: realizar investigaciones en el ámbito de las matemáticas fundamentales y aplicar los principios y técnicas matemáticos, actuariales y estadísticos o asesorar al respecto; desempeñar funciones actuariales, inclusive en calidad de consejero actuario, en el establecimiento de regímenes y cajas de seguro y pensiones; planificar y preparar censos y encuestas y recopilar datos estadísticos; evaluar, organizar, ordenar, ajustar e interpretar datos estadísticos, y preparar ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
214;Ingenieros (excluyendo electrotecnólogos);Los arquitectos, ingenieros y afines investigan y perfeccionan o desarrollan conceptos, teorías y métodos o aplican los conocimientos de su especialización en campos como la arquitectura, la ingeniería o la tecnología o en la determinación de la eficiencia económica de procesos de producción.;"Las tareas desempeñadas por lo común incluyen las siguientes: realizar investigaciones y brindar asesoramiento pertinente, proyectar y dirigir la arquitectura, construcción, mantenimiento y reparación de edificios, obras públicas, ciudades y zonas urbanas o verdes, sistemas de tránsito y otras obras de ingeniería civil o de las demás ramas de la ingeniería, inclusive la ingeniería de minas, química, mecánica, metalúrgica, eléctrica, electrónica y de otros tipos, y sus aplicaciones industriales - estructuras, instalaciones, máquinas y equipos; sistemas y métodos de extracción de petróleo, gas natural y otros minerales o agua, de separación de metales y de refinación y tratamiento; procesos mecánicos, químicos o de otra índole; desarrollo y producción de substancias, materiales y productos, etcétera; estudiar y asesorar acerca de los aspectos tecnológicos de determinados materiales, productos y procesos; estudiar y asesorar acerca de la eficiencia de la producción y de la organización del trabajo; hacer levantamientos topográficos y trabajos de agrimensura en tierra, en el mar y en otras áreas y preparar representaciones cartográficas y planos, así como representaciones gráficas, digitales y pictóricas, y preparar ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
22;Profesionales de la salud;Los profesionales de las ciencias biológicas, la medicina y la salud realizan investigaciones y perfeccionan o desarrollan conceptos, teorías y métodos, o aplican los conocimientos científicos en campos como la biología en sus distintas ramas y disciplinas conexas (botánica, zoología, citología, histología, morfología, fisiología, patología, embriología, ecología, genética, microbiología, bioquímica, biofísica, biometría, agronomía, zootecnia, farmacología), la medicina y otras ramas y disciplinas relativas.;"Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: realizar investigaciones, brindar asesoramiento y ampliar o aplicar los conocimientos científicos adquiridos mediante el estudio de todas las formas de vida humana, animal y vegetal, incluidos órganos, tejidos, células y microorganismos específicos, y de los efectos que sobre ellos ejercen los factores ambientales o las drogas u otras sustancias; estudiar las enfermedades del hombre, de los animales y de las plantas; aplicar medidas preventivas y curativas y cuidados de enfermería y partería y asesorar al respecto; promover la salud, y preparar ponencias e informes científicos. Sus tareas pueden incluir la supervisión de otros trabajadores.

Cabe hacer, observar que, habida cuenta de la índole de las tareas específicas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y las exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este subgrupo principal en el subgrupo principal 32: Técnicos y profesionales de nivel medio de las ciencias biológicas, la medicina y la salud. Tales casos pueden darse especialmente respecto de las ocupaciones clasificadas en el subgrupo 223: Personal de enfermería y partería de nivel superior.";;
24;Especialistas en organización de la administración publica y de empresas;"Los otros profesionales científicos e intelectuales realizan estudios o investigaciones e idean, perfeccionan o desarrollan conceptos, teorías y métodos en sus respectivos campos, o bien aplican los conocimientos pertinentes sea en materia de difusión de informaciones, organización y gestión de empresas o en relación con determinadas disciplinas, profesiones y actividades, como el derecho, las ciencias sociales y conexas - economía, sociología, antropología, filosofía, historia, política y trabajo social ; las humanidades, incluidos la filosofía y los idiomas, y las artes, los espectáculos públicos y la religión.";"Las tareas desempeñadas por lo común por los trabajadores de este subgrupo principal incluyen las siguientes: difundir informaciones e idear o aplicar métodos sobre organización, dirección y gestión de empresas o administración y observancia de las leyes; desarrollar o aplicar los conocimientos resultantes del estudio del comportamiento individual o colectivo, del florecimiento y evolución de los idiomas y de las doctrinas, teorías, conceptos, sistemas y organizaciones de carácter filosófico, político, económico, jurídico, educativo, social, religioso o de otra índole, en su proyección histórica y sus presentes perspectivas; concebir, crear, representar y ejecutar obras de arte o espectáculos y escribir artículos, comunicaciones y libros científicos o de carácter académico. Esas tareas pueden incluir la supervisión de otros trabajadores.";Cabe hacer observar que, habida cuenta de las tareas específicas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este subgrupo principal en el subgrupo principal 34: Otros técnicos y profesionales de nivel medio. Tales casos pueden darse principalmente en lo que concierne a las ocupaciones clasificadas en el grupo primario 2446: Profesionales del trabajo social.;
241;Especialistas en finanzas;Los especialistas en organización y administración de empresas y afines perfeccionan y aplican métodos de organización y administración de empresas y asesoran al respecto.;Las tareas desempeñadas por lo común incluyen las siguientes: estudiar, planificar, organizar, asesorar y prestar servicios relativos a la contabilidad, las políticas de personal y la orientación profesional o vocacional, así como otros servicios que requieren las empresas, como los de comercialización, publicidad, relaciones públicas y marcas y patentes, o dedicarse a las operaciones y labores previas al establecimiento de una empresa o a la difusión o aplicación de principios y métodos de economía doméstica. Esas tareas pueden incluir la supervisión de otros trabajadores.;;
242;Especialistas en organización de administración;Los profesionales del derecho investigan sobre cuestiones y materias de derecho, redactan anteproyectos de leyes y reglamentos, aconsejan en cuestiones de derecho, intervienen en representación de una de las partes en juicios o procesos o defienden sus derechos, mantienen la acusación o el interés del Estado en los juicios, presiden o participan como jueces en los tribunales de justicia y dictan las sentencias de éstos.;"Las tareas desempeñadas por lo común incluyen las siguientes: brindar asesoramiento profesional en cuestiones de derecho y defender los intereses, pleitos o causas en que es parte su cliente; preparar documentos jurídicos; administrar la justicia y dictar sentencias en los tribunales. Estas funciones pueden incluir la supervisión de otros trabajadores.";;
243;Profesionales de las ventas, la comercialización y las relaciones públicas;Los archiveros, bibliotecarios, documentalistas y afines tienen a su cargo la constitución, desarrollo y conservación de las colecciones de archivos, museos, bibliotecas, galerías de arte e instituciones y establecimientos similares.;"Las tareas desempeñadas por lo común incluyen las siguientes: investigar, estudiar y evaluar obras de diversa índole de interés histórico, cultural o artístico; incorporarlas en colecciones existentes o en nuevas colecciones y garantizar su preservación en condiciones seguras; organizar tales colecciones y exhibirlas en museos e instituciones y establecimientos similares; ampliar y conservar colecciones sistemáticas de obras publicadas, grabaciones sonoras y películas y ponerlas a disposición de los usuarios en las bibliotecas, archivos y otras instituciones similares y preparar ponencias e informes de carácter académico o científico. Esas tareas pueden incluir la supervisión de otros trabajadores.";;
3;Técnicos y profesionales de nivel medio;Los técnicos y profesionales de nivel medio desempeñan funciones predominantemente técnicas o especializadas relacionadas con la investigación y con la aplicación de los principios, conceptos y métodos de distintas ramas científicos o artísticos y con los reglamentos oficiales o profesionales e imparten enseñanza de cierto nivel. La mayoría de las ocupaciones de este gran grupo requieren competencias de tercer grado, tal como las define la CIUO.;"Las tareas desempeñadas por lo común por los técnicos y profesionales de nivel medio incluyen las siguientes: emprender y llevara cabo labores técnicas relacionadas con la investigación y la aplicación de conceptos, principios y métodos en materia de ciencias exactas, incluidas las matemáticas, la ingeniería y la tecnología; en materia de ciencias biológicas y disciplinas conexas, incluida la medicina, y en materia de ciencias sociales y humanidades. Otras tareas abarcan, por ejemplo, la enseñanza primaria y preescolar; la enseñanza de personas física y mentalmente disminuidas; la prestación de servicios técnicos relacionados con la gestión de empresas, el comercio, las finanzas, la administración - inclusive en lo que se refiere al control del cumplimiento de ciertas leyes y reglamentos - y la protección y la asistencia sociales; ciertas actividades artísticas y deportivas, y el ejercicio de determinadas funciones de carácter religioso. Tales tareas pueden incluir la supervisión de otros trabajadores.";Cabe observar que, habida cuenta de las tareas especificas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este gran grupo en el gran grupo 2: Profesionales científicos e intelectuales. Tales casos pueden darse especialmente en lo que se refiere a las ocupaciones del personal de enseñanza, del personal de enfermería y partería y de los trabajadores y asistentes sociales.;
31;Profesionales de las ciencias y la ingeniería de nivel medio;Los técnicos y profesionales de nivel medio de las ciencias físicas y químicas, la ingeniería y afines desempeñan funciones técnicas relacionadas con la investigación y la aplicación de conceptos y métodos en los campos de las ciencias físicas y químicas y de la ingeniería, la tecnología y la informática, o bien controlan y operan máquinas y equipos técnicos, pilotan aeronaves, dirigen la navegación de buques y otras embarcaciones e investigan las condiciones de seguridad en las fábricas y de los procesos y productos.;"Las tareas desempeñadas por lo común por los trabajadores de este subgrupo principal incluyen las siguientes: emprender y realizar operaciones técnicas en distintas ramas de las ciencias físicas y químicas, la ingeniería y la informática; accionar y controlar instrumentos, aparatos, equipos y sistemas ópticos, electrónicos y similares; pilotar aeronaves o dirigir la navegación de buques y otras embarcaciones, e inspeccionar el cumplimiento de reglamentos de seguridad en construcciones, procesos, equipos y productos. Pueden recibir orientación del Personal directivo de la administración pública, de Directores de empresa o de Profesionales científicos e intelectuales. Sus tareas pueden incluir la supervisión de otros trabajadores.";;
32;Profesionales de nivel medio de la salud;Los técnicos y profesionales de nivel medio de las ciencias biológicas, la medicina y la salud efectúan tareas técnicas relacionadas con la investigación y con la aplicación de conceptos, teorías, principios y métodos en materias relacionadas con los seres orgánicos, incluidas la agricultura, la ganadería y la silvicultura, así como la sanidad, la medicina y la farmacia, y prestan servicios de enfermería, partería y curación paramédica.;Las tareas desempeñadas por lo común por los trabajadores comprendidos en este subgrupo principal incluyen las siguientes: emprender y realizar investigaciones y labores técnicas relativas a distintas ramas de la biología, la agronomía (así como la agricultura y la silvicultura), la zootecnia (así como la veterinaria), la sanidad, la medicina y la farmacia y otras disciplinas y campos conexos, y proporcionar cuidados de enfermería, partería y medicina tradicional, inclusive ciertos tipos de atención curativa paramédica. Pueden recibir orientación de Profesionales de las ciencias biológicas, la medicina y la salud. Sus tareas pueden incluir la supervisión de otros trabajadores.;Cabe hacer observar que, habida cuenta de las tareas específicas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este subgrupo principal en el subgrupo principal 22: Profesionales de las ciencias -biológicas, la medicina y la salud. Tales casos pueden darse especialmente en lo que concierne a las ocupaciones del subgrupo 323: Personal de enfermería y partería de nivel medio.;
33;Profesionales de nivel medio en operaciones financieras y administrativas;Los maestros e instructores de nivel medio enseñan diversas materias del ciclo de instrucción primaria o preescolar, organizan actividades educativas para infantes de edad inferior a la exigida para el ingreso en las escuelas primarias, o dan cursos para niños, jóvenes y adultos física o mentalmente disminuidos o para personas con dificultades de aprendizaje.;"Las tareas desempeñadas por lo común por los trabajadores de este subgrupo principal incluyen las siguientes: preparar metódicamente el programa de enseñanza y enseñar las materias pertinentes del ciclo de instrucción primaria o preescolar: programar y organizar actividades destinadas a desarrollar las aptitudes expresivas, físicas y sociales de los niños; adaptar los planes de instrucción a las características y necesidades de distintos grupos de inválidos, sean éstos niños, jóvenes o adultos física o mentalmente disminuidos, y enseñarles recurriendo a técnicas y medios apropiados - como pueden ser el sistema de escritura braille, el de lectura labial u otros -; preparar informes escolares o docentes; enseñar sistemáticamente otras materias, como el pilotaje de aeronaves o la conducción de vehículos automotores. Sus tareas pueden incluir la supervisión de otros trabajadores.";"Cabe hacer observar que, habida cuenta de las tareas específicas desempeñadas, del grado de responsabilidad que entrañen y de los requisitos educativos y exigencias de formación en distintos países, acaso convenga clasificar algunas de las ocupaciones identificadas en este subgrupo principal en el subgrupo principal 23: Profesionales de la enseñanza. Esto se aplica, en especial, a las ocupaciones clasificadas en el subgrupo 33 l: Maestros de nivel medio de la enseñanza primaria ; en el subgrupo 332: Maestros de nivel medio de la enseñanza preescolar y en el subgrupo 333: Maestros de nivel medio de la enseñanza especial.";
